from_slug,to_slug,weight,context,note
pistachios,almonds,0.7,garnish nuts,different colour and flavour
pine-nuts,almonds,0.7,garnish nuts,flaked almonds are the common swap
walnuts,pecans,0.9,nuts,sweeter
honey,date-syrup,0.8,sweetener,deeper flavour
date-syrup,honey,0.8,sweetener,lighter flavour
sugar-white,sugar-brown,0.85,sweetener,caramel notes
dates-dried,dates-deglet-noor,0.9,dates,firmer
dried-thyme,oregano-dried,0.7,dried herb,sharper
parsley,coriander-fresh,0.6,fresh herb,different flavour
coriander-fresh,parsley,0.6,fresh herb,milder
mint-fresh,basil-fresh,0.4,fresh herb,different flavour
chicken-stock,vegetable-stock,0.8,cooking stock,vegetarian
beef-stock,chicken-stock,0.8,cooking stock,lighter
soy-sauce,salt,0.4,seasoning,no umami; gluten-free
cornflour,flour-wheat-white,0.6,thickener,needs longer cooking; contains gluten
breadcrumbs,oats-rolled,0.5,coating,coarser
